Roll No.,Name,Number of courses they wish to take,First course preference,Second course preference,Third course preference,Fourth course preference,Fifth course preference,Sixth course preference
21520247,Jesse Perkins,4,CL 628-Liquid State Theory,CL 604-Advanced Reaction Engineering,ES 415-Nature-inspired Materials Design,HS 649-Public Policy and its Impact Evaluation,,
20510446,Sage Salgado,4,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,HS 643-Indian and Western Cultural Theory,ES 243-Biology for Engineers,,
21520603,Trace Pierce,3,MA 603-Nonlinear Analysis with Applications,ES 415-Nature-inspired Materials Design,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,MA 624-Partial Differential Equations,CL 221-Chemical Engineering Thermodynamics
21520460,Arabella Lewis,4,ME 321-Mechanics of Deformable Bodies,PH 607-Topics in Quantum and Statistical Mechanics,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics
19520414,Wyatt Leach,4,EH 617-Advanced Field Techniques in Earth Sciences,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,CE 624-River Engineering,HS 643-Indian and Western Cultural Theory
21510591,Martha Cook,2,CL 604-Advanced Reaction Engineering,ME 636-Fuel Cell and Battery Systems,CE 636-Traffic and Roadway Engineering,,,
23520029,Ezekiel Stout,1,CL 604-Advanced Reaction Engineering,ME 321-Mechanics of Deformable Bodies,MA 605-Commutative Algebra,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,
19510918,Chana Choi,2,ES 243-Biology for Engineers,MA 603-Nonlinear Analysis with Applications,CL 221-Chemical Engineering Thermodynamics,MSE 625-Thermodynamics of thin film growth,,
20110598,Khari Hanson,4,CL 221-Chemical Engineering Thermodynamics,ME 321-Mechanics of Deformable Bodies,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,MSE 401-Introduction to Polymer Physics and Processing,
20510696,Mariana Contreras,3,CG 506-Experimental Techniques in Cognitive Science,MA 603-Nonlinear Analysis with Applications,ES 413-Deep Learning,,,
20520429,Emilio Barr,4,PH 607-Topics in Quantum and Statistical Mechanics,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,CL 604-Advanced Reaction Engineering,,
22110454,Noemi Espinoza,2,ES 415-Nature-inspired Materials Design,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,,
23110715,Dallas Gonzales,4,MSE 209-Material Thermodynamics and Kinetics,CL 604-Advanced Reaction Engineering,MA 603-Nonlinear Analysis with Applications,ME 321-Mechanics of Deformable Bodies,HS 643-Indian and Western Cultural Theory,
21510534,Hadley Shannon,1,MSE 625-Thermodynamics of thin film growth,EH 617-Advanced Field Techniques in Earth Sciences,,,,
19510008,Eliel Ware,4,MSE 401-Introduction to Polymer Physics and Processing,MS 404-Neuromarketing,HS 643-Indian and Western Cultural Theory,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,
22520767,Eileen Jaramillo,1,HS 649-Public Policy and its Impact Evaluation,MSE 625-Thermodynamics of thin film growth,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,CH 401-Food Chemistry,MSE 401-Introduction to Polymer Physics and Processing
23110237,Riggs Whitaker,3,ME 636-Fuel Cell and Battery Systems,MA 603-Nonlinear Analysis with Applications,HS 649-Public Policy and its Impact Evaluation,,,
20510530,Ivanna Hodge,1,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,MA 603-Nonlinear Analysis with Applications,,
19520910,Reign Shaffer,1,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,CE 304-Concrete Design,,,
23520778,Alanna Holt,3,EH 617-Advanced Field Techniques in Earth Sciences,ES 243-Biology for Engineers,ES 613-Modern Control Theory,CE 304-Concrete Design,CS 303-Mathematical Foundations for AI,CL 221-Chemical Engineering Thermodynamics
20110790,Niko Mullins,4,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications
23510294,Maliyah Lane,4,MS 404-Neuromarketing,HS 643-Indian and Western Cultural Theory,MSE 209-Material Thermodynamics and Kinetics,CG 506-Experimental Techniques in Cognitive Science,MA 605-Commutative Algebra,
23110085,Matias Kirk,3,ME 321-Mechanics of Deformable Bodies,ME 636-Fuel Cell and Battery Systems,MA 605-Commutative Algebra,HS 643-Indian and Western Cultural Theory,,
23110026,Ellis Conrad,4,ME 321-Mechanics of Deformable Bodies,CL 221-Chemical Engineering Thermodynamics,HS 632-A Multilingual Nation,MA 603-Nonlinear Analysis with Applications,ES 243-Biology for Engineers,
21110974,Dilan Goodman,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 624-Partial Differential Equations,ME 636-Fuel Cell and Battery Systems,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science
20110274,Carolina Rivera,4,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,CL 221-Chemical Engineering Thermodynamics,CG 506-Experimental Techniques in Cognitive Science,
23510171,Charles Cox,3,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,CL 604-Advanced Reaction Engineering,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory
21510231,Sadie Booker,1,MSE 209-Material Thermodynamics and Kinetics,PH 607-Topics in Quantum and Statistical Mechanics,ME 321-Mechanics of Deformable Bodies,,,
22520185,Dominik Schwartz,1,ES 243-Biology for Engineers,MSE 209-Material Thermodynamics and Kinetics,HS 643-Indian and Western Cultural Theory,EH 617-Advanced Field Techniques in Earth Sciences,MA 605-Commutative Algebra,ME 321-Mechanics of Deformable Bodies
21520345,Lilliana Jacobson,3,CL 628-Liquid State Theory,ES 613-Modern Control Theory,EH 617-Advanced Field Techniques in Earth Sciences,CL 604-Advanced Reaction Engineering,MA 624-Partial Differential Equations,
23110268,Legacy Curry,3,MSE 209-Material Thermodynamics and Kinetics,CH 401-Food Chemistry,EH 617-Advanced Field Techniques in Earth Sciences,,,
20510241,Alison Watts,1,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,,,,
20110311,Dakota Owen,1,MSE 401-Introduction to Polymer Physics and Processing,MSE 625-Thermodynamics of thin film growth,MA 624-Partial Differential Equations,HS 649-Public Policy and its Impact Evaluation,,
22510772,Mikayla Salinas,1,MSE 310-Physics of Materials,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,MA 603-Nonlinear Analysis with Applications,,
22520312,Edgar Xiong,4,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,MS 404-Neuromarketing,ME 636-Fuel Cell and Battery Systems,EH 617-Advanced Field Techniques in Earth Sciences,ME 321-Mechanics of Deformable Bodies
20510963,Amayah McIntosh,3,MA 603-Nonlinear Analysis with Applications,ES 613-Modern Control Theory,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory,CE 636-Traffic and Roadway Engineering,PH 607-Topics in Quantum and Statistical Mechanics
23510946,Kristian Patton,1,MSE 209-Material Thermodynamics and Kinetics,,,,,
22110421,Lorelei Carr,4,MSE 209-Material Thermodynamics and Kinetics,MS 404-Neuromarketing,MSE 625-Thermodynamics of thin film growth,ES 243-Biology for Engineers,CL 628-Liquid State Theory,HS 643-Indian and Western Cultural Theory
23510861,Kash Nolan,1,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,PH 607-Topics in Quantum and Statistical Mechanics,,,
22520150,Itzayana Chapman,3,CG 506-Experimental Techniques in Cognitive Science,MA 603-Nonlinear Analysis with Applications,CL 604-Advanced Reaction Engineering,,,
23510894,Knox Lynch,4,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,ME 321-Mechanics of Deformable Bodies,MA 603-Nonlinear Analysis with Applications,,
22520335,Malia Khan,3,ES 415-Nature-inspired Materials Design,MSE 401-Introduction to Polymer Physics and Processing,CH 401-Food Chemistry,ME 321-Mechanics of Deformable Bodies,,
19110676,Kendrick Rangel,3,CL 221-Chemical Engineering Thermodynamics,PH 607-Topics in Quantum and Statistical Mechanics,HS 649-Public Policy and its Impact Evaluation,MSE 401-Introduction to Polymer Physics and Processing,MSE 310-Physics of Materials,HS 643-Indian and Western Cultural Theory
23520710,Gloria Hoffman,3,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,MS 404-Neuromarketing,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,MA 603-Nonlinear Analysis with Applications
20110477,Steven Watts,3,MSE 209-Material Thermodynamics and Kinetics,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,ES 623-Biomolecular Materials Science,,
19510187,Melissa Rocha,2,MA 624-Partial Differential Equations,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,HS 649-Public Policy and its Impact Evaluation,,
20520655,Onyx Simon,1,MA 603-Nonlinear Analysis with Applications,CH 401-Food Chemistry,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,EH 617-Advanced Field Techniques in Earth Sciences,HS 643-Indian and Western Cultural Theory
19110837,Kalani Hess,4,MA 603-Nonlinear Analysis with Applications,MSE 209-Material Thermodynamics and Kinetics,ES 623-Biomolecular Materials Science,EH 614-Physics of the Lithosphere,ME 321-Mechanics of Deformable Bodies,
21110389,Lawrence Boyle,3,HS 643-Indian and Western Cultural Theory,ES 243-Biology for Engineers,MSE 310-Physics of Materials,,,
23510934,Aliya Lindsey,4,EH 617-Advanced Field Techniques in Earth Sciences,MA 603-Nonlinear Analysis with Applications,MS 404-Neuromarketing,ME 636-Fuel Cell and Battery Systems,MSE 625-Thermodynamics of thin film growth,CL 628-Liquid State Theory
22520966,Jayson Richmond,3,HS 632-A Multilingual Nation,CL 221-Chemical Engineering Thermodynamics,ES 623-Biomolecular Materials Science,ES 613-Modern Control Theory,MSE 209-Material Thermodynamics and Kinetics,
21510765,Whitney Bishop,4,MSE 625-Thermodynamics of thin film growth,ES 613-Modern Control Theory,ME 636-Fuel Cell and Battery Systems,HS 643-Indian and Western Cultural Theory,,
23110075,Paxton Figueroa,4,ME 321-Mechanics of Deformable Bodies,EH 614-Physics of the Lithosphere,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,,
21520107,Lilith Hall,1,CL 221-Chemical Engineering Thermodynamics,MSE 209-Material Thermodynamics and Kinetics,,,,
21110551,Thomas Strickland,2,ME 636-Fuel Cell and Battery Systems,HS 643-Indian and Western Cultural Theory,ES 415-Nature-inspired Materials Design,MSE 625-Thermodynamics of thin film growth,CS 303-Mathematical Foundations for AI,
22110152,Nia Floyd,3,ME 321-Mechanics of Deformable Bodies,MSE 401-Introduction to Polymer Physics and Processing,MA 624-Partial Differential Equations,CS 303-Mathematical Foundations for AI,MSE 209-Material Thermodynamics and Kinetics,
23510709,Pierce O’Neill,4,CL 628-Liquid State Theory,MSE 310-Physics of Materials,HS 649-Public Policy and its Impact Evaluation,ME 321-Mechanics of Deformable Bodies,,
20110894,Kenna Blake,2,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,CE 304-Concrete Design,MSE 209-Material Thermodynamics and Kinetics,,
22110394,Zyaire Valentine,2,MSE 401-Introduction to Polymer Physics and Processing,HS 632-A Multilingual Nation,,,,
20110993,August Mills,4,MSE 401-Introduction to Polymer Physics and Processing,EH 614-Physics of the Lithosphere,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,ES 613-Modern Control Theory,
19110174,Alex Rowe,2,MS 404-Neuromarketing,MA 603-Nonlinear Analysis with Applications,MSE 401-Introduction to Polymer Physics and Processing,,,
22110677,Matilda Ferguson,2,MA 603-Nonlinear Analysis with Applications,MA 605-Commutative Algebra,HS 649-Public Policy and its Impact Evaluation,CE 304-Concrete Design,,
21510409,Miguel Mata,1,MSE 310-Physics of Materials,CL 604-Advanced Reaction Engineering,,,,
22520988,Lillie Peterson,1,ES 243-Biology for Engineers,MSE 401-Introduction to Polymer Physics and Processing,MSE 209-Material Thermodynamics and Kinetics,,,
23520484,Santiago Dean,2,ES 623-Biomolecular Materials Science,CL 628-Liquid State Theory,ES 415-Nature-inspired Materials Design,ES 613-Modern Control Theory,,
19520432,Julianna Drake,2,MSE 209-Material Thermodynamics and Kinetics,MSE 310-Physics of Materials,EH 617-Advanced Field Techniques in Earth Sciences,ME 636-Fuel Cell and Battery Systems,CL 604-Advanced Reaction Engineering,
21510983,Jalen Crane,3,HS 649-Public Policy and its Impact Evaluation,ES 623-Biomolecular Materials Science,MSE 401-Introduction to Polymer Physics and Processing,HS 632-A Multilingual Nation,CH 401-Food Chemistry,
22110665,Della Stuart,3,CE 304-Concrete Design,CS 303-Mathematical Foundations for AI,EH 617-Advanced Field Techniques in Earth Sciences,ES 623-Biomolecular Materials Science,,
22520722,Dion McConnell,1,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,MSE 625-Thermodynamics of thin film growth,CH 401-Food Chemistry,ES 415-Nature-inspired Materials Design,
20520046,Denise Pacheco,2,ME 321-Mechanics of Deformable Bodies,ES 623-Biomolecular Materials Science,HS 643-Indian and Western Cultural Theory,MA 603-Nonlinear Analysis with Applications,,
19110691,Erik Drake,1,HS 643-Indian and Western Cultural Theory,MSE 310-Physics of Materials,ES 415-Nature-inspired Materials Design,,,
21110422,Jayleen Waller,1,CL 221-Chemical Engineering Thermodynamics,ES 613-Modern Control Theory,CE 304-Concrete Design,ME 321-Mechanics of Deformable Bodies,,
23520089,Marley Gallagher,4,MSE 401-Introduction to Polymer Physics and Processing,CL 221-Chemical Engineering Thermodynamics,MA 605-Commutative Algebra,ES 243-Biology for Engineers,,
20110577,Elliott Portillo,4,HS 643-Indian and Western Cultural Theory,CL 628-Liquid State Theory,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,,
19110513,Wallace Aguilar,3,ES 623-Biomolecular Materials Science,MSE 625-Thermodynamics of thin film growth,CL 221-Chemical Engineering Thermodynamics,CH 401-Food Chemistry,ES 243-Biology for Engineers,PH 607-Topics in Quantum and Statistical Mechanics
20510660,Josie Zhang,4,HS 649-Public Policy and its Impact Evaluation,MA 624-Partial Differential Equations,MSE 209-Material Thermodynamics and Kinetics,MSE 401-Introduction to Polymer Physics and Processing,ES 623-Biomolecular Materials Science,ME 636-Fuel Cell and Battery Systems
21520707,Isaias Bean,2,HS 649-Public Policy and its Impact Evaluation,CL 604-Advanced Reaction Engineering,,,,
23110489,Jenesis Rangel,2,ME 321-Mechanics of Deformable Bodies,ES 243-Biology for Engineers,ES 613-Modern Control Theory,,,
19110606,Saint Choi,1,MSE 625-Thermodynamics of thin film growth,CE 304-Concrete Design,CL 221-Chemical Engineering Thermodynamics,HS 643-Indian and Western Cultural Theory,,
23510739,Karla Peck,2,MA 624-Partial Differential Equations,EH 617-Advanced Field Techniques in Earth Sciences,CL 628-Liquid State Theory,MSE 310-Physics of Materials,CS 303-Mathematical Foundations for AI,CH 401-Food Chemistry
23110614,Yousef Todd,1,CL 604-Advanced Reaction Engineering,ES 623-Biomolecular Materials Science,PH 607-Topics in Quantum and Statistical Mechanics,MSE 310-Physics of Materials,CL 221-Chemical Engineering Thermodynamics,CE 304-Concrete Design
22510682,Zariah Freeman,4,CE 304-Concrete Design,ES 413-Deep Learning,MSE 625-Thermodynamics of thin film growth,MA 603-Nonlinear Analysis with Applications,HS 643-Indian and Western Cultural Theory,
23510997,Jayce Pacheco,2,ES 613-Modern Control Theory,PH 607-Topics in Quantum and Statistical Mechanics,,,,
19510772,Paris Roberson,1,ME 321-Mechanics of Deformable Bodies,HS 649-Public Policy and its Impact Evaluation,CH 401-Food Chemistry,ES 413-Deep Learning,MA 603-Nonlinear Analysis with Applications,CL 628-Liquid State Theory
21510247,Shepherd Hanna,4,HS 643-Indian and Western Cultural Theory,CL 221-Chemical Engineering Thermodynamics,CL 604-Advanced Reaction Engineering,MSE 401-Introduction to Polymer Physics and Processing,ES 613-Modern Control Theory,ES 243-Biology for Engineers
